Source ID,Publisher,Source Note,URL,Checked As Of,Source Type
SRC_0001,akamai.apmterminals.com,,https://akamai.apmterminals.com/en/about/global-leadership,2026-09-07,Official / primary source
SRC_0002,careers.abports.co.uk,,https://careers.abports.co.uk/content/Graduate/?locale=en_GB,2026-09-07,Official / primary source
SRC_0003,cmacgm-group.com,,https://cmacgm-group.com/en/group-and-vision/our-activities/terminals,2026-09-07,Official / primary source
SRC_0004,cmacgm-group.com,,https://cmacgm-group.com/en/news-media/rsgt-and-cma-cgm-announce-usd-434-million-initial-investment-develop-terminal-4-saudi-arabia,2026-09-07,Official / primary source
SRC_0005,forthports.co.uk,,https://forthports.co.uk/,2026-09-07,Official / primary source
SRC_0006,forthports.co.uk,,https://forthports.co.uk/modern-slavery-statement/,2026-09-07,Official / primary source
SRC_0007,forthports.co.uk,,https://forthports.co.uk/our-ports/leith-edinburgh/,2026-09-07,Official / primary source
SRC_0008,hutchisonports.com,,https://hutchisonports.com/media/d/Hutchison_Ports_SR24.pdf,2026-09-07,Official / primary source
SRC_0009,www.abports.co.uk,,https://www.abports.co.uk/,2026-09-07,Official / primary source
SRC_0010,www.adportsgroup.com,,https://www.adportsgroup.com/en/about-us,2026-09-07,Official / primary source
SRC_0011,www.adportsgroup.com,,https://www.adportsgroup.com/en/integrated-clusters/ports,2026-09-07,Official / primary source
SRC_0012,www.adportsgroup.com,,https://www.adportsgroup.com/en/investors,2026-09-07,Official / primary source
SRC_0013,www.adportsgroup.com,,https://www.adportsgroup.com/en/investors/corporate-governance/management-team,2026-09-07,Official / primary source
SRC_0014,www.adportsgroup.com,,https://www.adportsgroup.com/en/news-and-media/2026/02/12/ad-ports-group-reports-record-2025-revenue,2026-09-07,Official / primary source
SRC_0015,www.adportsgroup.com,,https://www.adportsgroup.com/en/news-and-media/2026/05/05/ad-ports-group-cma-terminals-khalifa-port-and-cma-cgm-group-sign-mou,2026-09-07,Official / primary source
SRC_0016,www.adportsgroup.com,,https://www.adportsgroup.com/en/news-and-media/2026/05/22/ad-ports-group-establishes-consolidated-multimodal-inland-logistics-network,2026-09-07,Official / primary source
SRC_0017,www.apmterminals.com,,https://www.apmterminals.com/en/about/global-leadership,2026-09-07,Official / primary source
SRC_0018,www.apmterminals.com,,https://www.apmterminals.com/en/about/growth,2026-09-07,Official / primary source
SRC_0019,www.apmterminals.com,,https://www.apmterminals.com/en/about/our-company,2026-09-07,Official / primary source
SRC_0020,www.apmterminals.com,,https://www.apmterminals.com/en/tools/service-locator,2026-09-07,Official / primary source
SRC_0021,www.bristolport.co.uk,,https://www.bristolport.co.uk/,2026-09-07,Official / primary source
SRC_0022,www.cargolux.com,,https://www.cargolux.com/about-us,2026-09-07,Official / primary source
SRC_0023,www.cargolux.com,,https://www.cargolux.com/fleet-equipment/,2026-09-07,Official / primary source
SRC_0024,www.cargolux.com,,https://www.cargolux.com/network/,2026-09-07,Official / primary source
SRC_0025,www.cevalogistics.com,,https://www.cevalogistics.com/en/news-and-media/newsroom/press-release/ceva-boosts-asia-pacific-us-air-cargo,2026-09-07,Official / primary source
